transaction_text,category
Reliance Fresh Chennai 318,Groceries
Air India Hyderabad 3879,Travel
Air India Kolkata 3271 txn,Travel
Zoom Subscription Pune 4962,Online Services
Amazon Prime Bangalore 3125,Entertainment
Indian Oil Hyderabad 2075,Fuel
Vodafone Bill Pune 4791,Bills & Recharge
Airtel Recharge Mumbai 395,Bills & Recharge
Jio Recharge Chennai 4540,Bills & Recharge
Apollo Pharmacy Kolkata 1609,Medical
zoom subscription kolkata 4118,Online Services
Airtel Recharge Kolkata 4199,Bills & Recharge
adobe mumbai 708,Online Services
airtel recharge kolkata 72,Bills & Recharge
NetflixDelhi2832,Entertainment
PharmEasy Kolkata 2333,Medical
RedBus Mumbai 4470,Travel
Amazon Prime Chennai 3917,Entertainment
Google Cloud Delhi 1975,Online Services
Hotstar Mumbai 4985,Entertainment
HP Petrol Pump Bangalore 4493,Fuel
Reliance Fresh Kolkata 2999,Groceries
BookMyShow Pune 714,Entertainment
Bharat Petroleum Delhi 2021,Fuel
Swiggy Chennai 4175,Food & Drinks
Air India Chennai 223,Travel
Netflix Kolkata 3905,Entertainment
DMart Kolkata 4163,Groceries
Zoom Subscription Hyderabad 2406,Online Services
ajio delhi 842,Shopping
Bank Service Charge Delhi 2579,Banking Charges
Canva Chennai 479,Online Services
ID-Apollo Pharmacy Mumbai 508,Medical
IRCTCDelhi1460,Travel
Card Annual Fee Delhi 813 txn,Banking Charges
SonyLiv Delhi 3093,Entertainment
Electricity Bill Chennai 548 txn,Bills & Recharge
CCD Ch3nnai 2989,Food & Drinks
1mg Pune 680,Medical
Google Cloud Hyderabad 298,Online Services
ID-Microsoft 365 Bangalore 1998,Online Services
DM@rt B@ng@lore 2692,Groceries
Indian Oil Bangalore 1910,Fuel
zoom subscription kolkata 975,Online Services
Spencers Chennai 2085,Groceries
DMart Pune 3521,Groceries
Netflix Bangalore 2641 txn,Entertainment
bookmyshow pune 3885,Entertainment
1mg Mumbai 3872,Medical
Airtel Recharge Mumbai 3266,Bills & Recharge
IRCTC Hyderabad 2516,Travel
MakeMyTrip Kolkata 2867,Travel
Jio Recharge Kolkata 127,Bills & Recharge
Google Cloud Mumbai 4358,Online Services
Water Bill Hyderabad 792,Bills & Recharge
hp petrol pump kolkata 4989,Fuel
Amazon Prime Hyderabad 4601,Entertainment
BigBasket Kolkata 3777 txn,Groceries
Air India Pune 3791,Travel
PharmEasy Pune 1756,Medical
MakeMyTrip Delhi 4300,Travel
Adobe Chennai 2516,Online Services
Card Annual Fee Kolkata 768,Banking Charges
SonyLiv Kolk@t@ 2137,Entertainment
Nykaa Delhi 812,Shopping
Tata Cliq Mumbai 2635,Shopping
Nature'sBasketKolkata2559,Groceries
Hotstar Mumbai 2738,Entertainment
Ajio Chennai 2981,Shopping
Spencers Hyderabad 815,Groceries
adobe hyderabad 1608,Online Services
DM@rt Chenn@i 573,Groceries
ATM Withdrawal Fee Delhi 888 txn,Banking Charges
Bank Service Charge Delhi 4090,Banking Charges
Googl3 Cloud Mumbai 1038,Online Services
1mg Hyderabad 3938,Medical
Water Bill Kolkata 2613,Bills & Recharge
Bank Service Charge Pune 4267,Banking Charges
Water Bill Mumbai 1068,Bills & Recharge
HP Petrol Pump Chennai 2119,Fuel
Adobe Chenn@i 1262,Online Services
Uber Delhi 1588,Travel
Indian Oil Chennai 2494,Fuel
Jio Rech@rge Mumb@i 3559,Bills & Recharge
Amazon Prime Chennai 4588,Entertainment
Water Bill Kolkata 3367,Bills & Recharge
IRCTC Kolkata 4348 txn,Travel
HP Petrol Pump Kolkata 638,Fuel
Swiggy Delhi 4205,Food & Drinks
Zoom Subscription Pune 2542,Online Services
Air India Chennai 3578,Travel
Ola Kolkata 225,Travel
Uber Chennai 538,Travel
IRCTC Pune 3720,Travel
Canva Pune 2886,Online Services
Burger King Pune 1053,Food & Drinks
Nature's Basket Hyderabad 1435,Groceries
Microsoft 365 Bangalore 2712,Online Services
Netflix Chennai 2113 txn,Entertainment
BigBasket Delhi 4877,Groceries
1mg Mumbai 1251,Medical
Canva Hyderabad 4797,Online Services
Amazon D3lhi 3820,Shopping
IndiGo Pune 1014,Travel
DMart Mumbai 596,Groceries
Amazon Prime Hyderabad 1343,Entertainment
Spencers Hyderabad 1440,Groceries
Swiggy Hyderabad 3418,Food & Drinks
McDon@lds Hyder@b@d 707,Food & Drinks
mcdonalds kolkata 3813,Food & Drinks
Nykaa Delhi 4148,Shopping
Zoom Subscription Chennai 2756,Online Services
Shell Petrol Pump Hyderabad 3363,Fuel
IndiGo Chennai 2968 txn,Travel
Myntra Bangalore 618,Shopping
Adobe Delhi 4339,Online Services
Tata Cliq Delhi 1081,Shopping
PharmEasy Bangalore 711,Medical
Uber Chennai 1156,Travel
Canva Bangalore 3497,Online Services
Indian Oil Mumbai 150,Fuel
sonyliv mumbai 721,Entertainment
Apollo Ph@rm@cy Kolk@t@ 4832,Medical
Google Cloud Mumbai 1843,Online Services
Amazon Prime Mumbai 2810,Entertainment
Zoom Subscription Delhi 1906 txn,Online Services
Amazon Pun3 3168,Shopping
Card Annual Fee Mumbai 402 txn,Banking Charges
Indi@n Oil Mumb@i 1982,Fuel
SonyLiv Hyderabad 2525,Entertainment
Nykaa Chennai 4774,Shopping
Shell Petrol Pump Pune 3119,Fuel
BigBasket Hyderabad 2869,Groceries
CCD Bangalore 1040,Food & Drinks
TataCliqBangalore4600,Shopping
Bank Service Charge Hyderabad 4242,Banking Charges
Ajio Chennai 1527,Shopping
ID-Amazon Prime Delhi 2526,Entertainment
N3tflix Ch3nnai 2375,Entertainment
HP Petrol Pump Pune 3257,Fuel
Mak3MyTrip Pun3 811,Travel
